pos_weight,best_epoch,best_validation_loss,threshold_0_5_global_dice,threshold_0_5_global_iou,threshold_0_5_pixel_precision,threshold_0_5_pixel_recall,threshold_0_5_mean_defective_image_dice,threshold_0_5_median_defective_image_dice,threshold_0_5_zero_detected_defective_images,threshold_0_5_mean_normal_predicted_fraction,threshold_0_5_normal_image_false_positive_rate,threshold_0_5_image_precision,threshold_0_5_image_recall,threshold_0_5_image_f1,best_global_dice_threshold,best_global_dice,global_choice_mean_defective_image_dice,global_choice_pixel_precision,global_choice_pixel_recall,global_choice_normal_image_false_positive_rate,global_choice_image_f1,best_mean_defective_dice_threshold,defective_choice_global_dice,best_mean_defective_image_dice,defective_choice_pixel_precision,defective_choice_pixel_recall,defective_choice_normal_image_false_positive_rate,defective_choice_image_f1,threshold_objectives_differ,training_seconds,runtime_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes,nonfinite_gradient_steps,amp_training_fallback_batches,amp_validation_fallback_batches,failure_count,stability_assessment,last_to_best_validation_loss_ratio,official_test_samples_loaded
1,7,0.08278651668024914,0.5568567353772289,0.3858637940030077,0.8567009185314399,0.41248687664041994,0.5410214515709025,0.7406587323553834,11,1.6840781876146665e-06,0.003194888178913738,0.9629629629629629,0.7027027027027027,0.8125,0.15,0.561923912718641,0.5310951816757349,0.8042184502205766,0.4318241469816273,0.003194888178913738,0.8125,0.6,0.5546470525225836,0.5417455836684509,0.867143016635034,0.40771653543307085,0.003194888178913738,0.8125,True,4332.4880247,4361.753726499999,5761391616,6549405696,4,1212,133,1349,obvious validation divergence; substantial AMP numerical fallback activity,3.6435258563219817,0
5,8,0.0756283912262214,0.7744195591927124,0.6318798288610119,0.7517280572251015,0.7985236220472441,0.6011656455633936,0.7638019351166762,8,0.0,0.0,1.0,0.7837837837837838,0.8787878787878788,0.8,0.7886927444881593,0.6193988572526012,0.8270762229806599,0.7537139107611549,0.0,0.8615384615384616,0.9,0.7824909068104854,0.6235707178878431,0.8620188701590936,0.7163976377952755,0.0,0.8615384615384616,True,3267.8777766999992,3311.603907200002,3509225984,4450156544,3,1078,191,1272,large validation-loss regime shift; substantial AMP numerical fallback activity,1.0,0
10,7,0.1526730446943215,0.740062623177401,0.5873804815948428,0.6530891897182611,0.8537598425196851,0.6092032387826474,0.7048346055979644,5,0.00012485013525173733,0.03194888178913738,0.7619047619047619,0.8648648648648649,0.810126582278481,0.65,0.7634115592010329,0.6350474864801339,0.7107792391458068,0.8244619422572178,0.03194888178913738,0.810126582278481,0.9,0.6571804946739649,0.6456395519657444,0.7766117343926137,0.5695866141732283,0.019169329073482427,0.8533333333333334,True,3559.562435900003,3609.203393699998,3509225984,4450156544,3,1667,386,2056,obvious validation divergence; substantial AMP numerical fallback activity,1.327873178333417,0
20,8,0.9577686899048942,0.56152481421508,0.39036114057725496,0.43001503402713104,0.8089107611548556,0.7368030023394956,0.798171129980405,1,0.0029781730572290203,0.5750798722044729,0.16666666666666666,0.972972972972973,0.2845849802371541,0.85,0.6803426991930969,0.70370965257212,0.6713060252045555,0.6896259842519685,0.3450479233226837,0.3888888888888889,0.2,0.4744364396932373,0.7547395100533226,0.3242066814887535,0.8841141732283465,0.7603833865814696,0.2371794871794872,True,3354.2317062000075,3403.9425039999987,3509225984,4452253696,3,1277,225,1505,no obvious instability; substantial AMP numerical fallback activity,1.0,0
