epoch,train_bce,train_dice,train_total_loss,validation_bce,validation_dice,validation_total_loss,global_dice,global_iou,pixel_precision,pixel_recall,mean_defective_image_dice,median_defective_image_dice,defective_images_zero_detected_pixels,mean_predicted_defect_fraction_normal_images,normal_image_false_positive_rate,image_precision,image_recall,image_f1,sampled_training_defective_fraction,nonfinite_gradient_steps,amp_forward_fallback_batches,amp_validation_fallback_batches,epoch_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes
1,0.062295620721411794,0.7684072793462793,0.8307028992918631,0.013497096357334938,0.9249303848402841,0.9384274782453265,0.501051773242416,0.3342688988840227,0.45571164470431436,0.5564107611548557,0.7060656055005294,0.7783301036313085,0,0.0017724200748519695,0.9552715654952076,0.11011904761904762,1.0,0.19839142091152814,0.5098435133770823,0,0,0,371.46903700000075,3323398656,3697278976
2,0.07515267333463695,0.5691122147436379,0.6442648872064717,0.016641856146802057,0.13731691564832416,0.1539587718461241,0.6367688108199806,0.4671025838273225,0.7719777137942639,0.5418635170603675,0.662357037359225,0.7529007305543618,2,4.6751852824517454e-05,0.0670926517571885,0.625,0.9459459459459459,0.7526881720430108,0.5113579000504795,2,0,0,372.0681146000006,3445777920,4032823296
3,0.1606434067551066,0.4235948706191781,0.5842382766901844,0.03814981084536429,0.12738867112568447,0.16553848270859037,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.48359414437152953,1,0,0,373.5377273999984,3446236672,4032823296
4,0.11884341073932199,0.3624992305915925,0.48134264133114635,0.0355011405476502,0.08132312570299421,0.1168242661867823,0.31187747079219946,0.18474812426000667,0.9835283465663741,0.18532152230971127,0.2925438055703518,0.0,19,0.0,0.0,1.0,0.4864864864864865,0.6545454545454547,0.4967188288743059,0,19,0,394.5930512999985,5758901248,6547308544
5,0.1129643603920629,0.3564263624353038,0.46939072174249064,0.03656102358157666,0.12634478534970964,0.16290580860206058,0.20262342782053688,0.11273287465566537,0.9560451727192205,0.11332020997375328,0.16343373551691345,0.0,26,0.0,0.0,1.0,0.2972972972972973,0.4583333333333333,0.4936900555275114,0,152,2,539.4077039000003,5760015360,6547308544
6,0.12329749824448687,0.34673551686299925,0.47003301420916155,0.02933854004188822,0.07202385766165598,0.10136239728757314,0.41266886419384863,0.2599765448337081,0.9539478376643447,0.2632808398950131,0.3931877570004599,0.34185149469623916,16,0.0,0.0,1.0,0.5675675675675675,0.7241379310344828,0.48813730439172137,0,284,19,687.2254787999991,5760670720,6549405696
7,0.08752366913263483,0.26683985868046706,0.3543635282812641,0.02339906116885697,0.05938745498657227,0.08278651668024914,0.5568567353772289,0.3858637940030077,0.8567009185314399,0.41248687664041994,0.5410214515709025,0.7406587323553834,11,1.6840781876146665e-06,0.003194888178913738,0.9629629629629629,0.7027027027027027,0.8125,0.49318525996971224,0,363,20,769.8376846000028,5761391616,6549405696
8,0.0702821460741844,0.27188977850888435,0.34217192525878837,0.032234276819700376,0.2694005366734096,0.30163481407931875,0.421385435976754,0.26693370603576216,0.32247732771675747,0.6078083989501313,0.558125227874918,0.7032328369051943,6,0.003261903762085661,0.24281150159744408,0.2897196261682243,0.8378378378378378,0.4305555555555555,0.48864209994952046,1,394,72,824.3492270999996,5761391616,6549405696
