epoch,train_bce,train_dice,train_total_loss,validation_bce,validation_dice,validation_total_loss,global_dice,global_iou,pixel_precision,pixel_recall,mean_defective_image_dice,median_defective_image_dice,defective_images_zero_detected_pixels,mean_predicted_defect_fraction_normal_images,normal_image_false_positive_rate,image_precision,image_recall,image_f1,sampled_training_defective_fraction,nonfinite_gradient_steps,amp_forward_fallback_batches,amp_validation_fallback_batches,epoch_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes
1,0.23378585875260907,0.835434624312556,1.0692204839374835,0.08949928279433932,0.9455288771220616,1.0350281606401717,0.12035448473658657,0.06403041624565049,0.06582781995561367,0.7010498687664042,0.6582285362515511,0.7224075618571031,0,0.031812411037694714,1.0,0.10571428571428572,1.0,0.19121447028423774,0.5098435133770823,2,0,0,387.9493083999987,3323398656,3697278976
2,0.18037644758647176,0.7526244279948762,0.9330008757735481,0.06421649015375545,0.9344708180427551,0.9986873095376151,0.1916882411062627,0.10600397866324275,0.11155841822545785,0.6804133858267717,0.6891553001672062,0.7599346761023408,0,0.01719758290723053,0.9904153354632588,0.10662824207492795,1.0,0.19270833333333331,0.5113579000504795,1,0,0,429.39888390000124,3321694720,3697278976
3,0.17951753001015094,0.7648370402260057,0.9443545701346092,0.0812631260071482,0.9431754265512738,1.0244385521752493,0.14481428935210447,0.07805918756323876,0.07915882732648673,0.8489238845144357,0.6128360081797316,0.6801601423487544,0,0.03090383899353414,1.0,0.10571428571428572,1.0,0.19121447028423774,0.48359414437152953,0,0,0,395.40436890000274,3321694720,3697278976
4,0.14106036349966491,0.7247179426188904,0.8657783080627677,0.02924248399878187,0.9230128989900861,0.9522553787912641,0.5753257467621754,0.40382967927906727,0.4787568380445917,0.7206955380577428,0.7727409390227391,0.8064276885043263,0,0.0020701990148332427,0.7507987220447284,0.13602941176470587,1.0,0.23948220064724918,0.4967188288743059,0,24,7,381.36472149999827,3507194368,4443865088
5,0.1253198376936196,0.7001921666625291,0.8255120039226911,0.0236234552147133,0.9348171148981367,0.9584405715124947,0.5003471665865513,0.3336419972932545,0.34779180012648275,0.8913123359580053,0.6606896195055615,0.699031149078029,0,0.003561258595051885,0.8178913738019169,0.12627986348122866,1.0,0.22424242424242424,0.4936900555275114,0,256,36,444.58343660000173,3509225984,4450156544
6,0.11263804596103105,0.6874775416859469,0.8001155869519091,0.03427672323687667,0.8478075701849801,0.8820842950684684,0.5037905042028357,0.3367112062969641,0.3594574375383512,0.8417979002624671,0.7116297135854754,0.8146815401223462,2,0.0042534794616202526,0.24600638977635783,0.3125,0.9459459459459459,0.4697986577181208,0.48813730439172137,0,408,81,492.9392219000001,3509225984,4450156544
7,0.21840947023139107,0.5188397362279146,0.7372492059448462,0.03601103216739381,0.11666201114654541,0.1526730446943215,0.740062623177401,0.5873804815948428,0.6530891897182611,0.8537598425196851,0.6092032387826474,0.7048346055979644,5,0.00012485013525173733,0.03194888178913738,0.7619047619047619,0.8648648648648649,0.810126582278481,0.49318525996971224,0,483,87,513.2195685000006,3509225984,4450156544
8,0.2231611623697212,0.43758370748738457,0.6607448693810539,0.03190026539259839,0.17083017587661742,0.2027304411040885,0.6729040476877224,0.5070500339597012,0.6206327037332624,0.7347900262467192,0.7023543695110914,0.7750847015897837,3,0.0005694242638940243,0.0926517571884984,0.5396825396825397,0.918918918918919,0.68,0.48864209994952046,0,496,88,514.7029261999996,3507980800,4448059392
