epoch,train_bce,train_dice,train_total_loss,validation_bce,validation_dice,validation_total_loss,global_dice,global_iou,pixel_precision,pixel_recall,mean_defective_image_dice,median_defective_image_dice,defective_images_zero_detected_pixels,mean_predicted_defect_fraction_normal_images,normal_image_false_positive_rate,image_precision,image_recall,image_f1,sampled_training_defective_fraction,nonfinite_gradient_steps,amp_forward_fallback_batches,amp_validation_fallback_batches,epoch_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes
1,0.16519428934624397,0.822112027636894,0.9873063177610495,0.05613456862313407,0.9406698281424386,0.9968043940407889,0.1910122534996681,0.10559068399949113,0.11401965685096077,0.5881955380577428,0.6962826599651555,0.8113098672821697,0,0.014604243154147574,1.0,0.10571428571428572,1.0,0.19121447028423774,0.5098435133770823,2,0,0,371.81799709999905,3323398656,3697278976
2,0.12610489693608987,0.7231441339659366,0.8492490313740345,0.03584675665944815,0.9327925985200064,0.9686393553870065,0.31931246959623805,0.18998919419573942,0.22008792191341928,0.5814566929133859,0.6947270338204558,0.8148148148148148,0,0.006450516827523853,0.8945686900958466,0.1167192429022082,1.0,0.2090395480225989,0.5113579000504795,0,0,0,370.5373604999986,3321694720,3697278976
3,0.11524668669470071,0.7295419715499107,0.8447886584745038,0.025741829579429967,0.9262331734384809,0.9519749988828387,0.4739804037261528,0.31059915933156607,0.3594084709455245,0.6957808398950132,0.7572941411164273,0.7893794749403341,0,0.0036207648829004267,0.7987220447284346,0.1289198606271777,1.0,0.22839506172839505,0.48359414437152953,0,0,0,370.3335279999992,3321694720,3697278976
4,0.10120369912010459,0.6905136288325634,0.7917173278867325,0.018066346648016145,0.9134004347664969,0.9314667810712541,0.6218677449943867,0.4512395256229264,0.53175853262997,0.7487467191601049,0.768176891650219,0.8278081750885098,0,0.0018503795327213086,0.6869009584664537,0.14682539682539683,1.0,0.25605536332179935,0.4967188288743059,0,0,0,370.4296596000022,3321694720,3697278976
5,0.09418680168185731,0.6799398974479298,0.7741266992704727,0.017622074944665656,0.8840992549487523,0.901721328667232,0.6085508637236084,0.4373504196870107,0.4796596066565809,0.8321653543307087,0.6902356403301962,0.7789309228880705,1,0.002012976761267356,0.5559105431309904,0.17142857142857143,0.972972972972973,0.291497975708502,0.4936900555275114,0,0,0,370.68763690000196,3321694720,3697278976
6,0.18235598402399683,0.37387157683427974,0.5562275615556106,0.03841893319548709,0.06018549067633493,0.09860442388270582,0.6635652653406752,0.49651902044421714,0.8128008523754258,0.5606299212598426,0.5853784113120138,0.747604708458801,9,0.0,0.0,1.0,0.7567567567567568,0.8615384615384616,0.48813730439172137,1,180,29,422.3194970000004,3509225984,4450156544
7,0.166121028204165,0.3465027865107044,0.5126238156858491,0.04164397658669686,0.05580744470868792,0.09745142208146197,0.6743655333397967,0.5087115266690295,0.781020573856864,0.5933398950131233,0.5671160519801394,0.7879896685320706,9,1.1907935533452242e-05,0.003194888178913738,0.9655172413793104,0.7567567567567568,0.8484848484848485,0.49318525996971224,0,437,32,489.790460799999,3509225984,4450156544
8,0.14663805606638322,0.2559849747138334,0.40262303021273366,0.026392403317035365,0.049235988344464986,0.0756283912262214,0.7744195591927124,0.6318798288610119,0.7517280572251015,0.7985236220472441,0.6011656455633936,0.7638019351166762,8,0.0,0.0,1.0,0.7837837837837838,0.8787878787878788,0.48864209994952046,0,461,65,501.9616367999988,3509225984,4450156544
