global_dice,global_iou,pixel_precision,pixel_recall,mean_defective_image_dice,median_defective_image_dice,defective_images_zero_detected_pixels,mean_predicted_defect_fraction_normal_images,normal_image_false_positive_rate,normal_false_positive_images,normal_image_count,image_precision,image_recall,image_f1,threshold
0.6263172103068215,0.45594020323040796,0.48526844959898446,0.8829593175853019,0.49273874707668297,0.5633314054366686,7,0.0,0.0,0,313,1.0,0.8108108108108109,0.8955223880597014,0.05
0.6887518046987794,0.5252642536835362,0.5740100634434478,0.8608267716535433,0.533592484334307,0.6280760626398211,7,0.0,0.0,0,313,1.0,0.8108108108108109,0.8955223880597014,0.1
0.7181765232100905,0.5602772427047686,0.6241891963900771,0.845485564304462,0.5544140558720501,0.678874949413193,7,0.0,0.0,0,313,1.0,0.8108108108108109,0.8955223880597014,0.15
0.7358722110412017,0.5821185306331288,0.6570923210998293,0.8361154855643045,0.5672628317049534,0.7092086140837627,7,0.0,0.0,0,313,1.0,0.8108108108108109,0.8955223880597014,0.2
0.7465813191981518,0.5956360238069391,0.6796934329371085,0.8280708661417323,0.5764823945752732,0.7326923076923076,7,0.0,0.0,0,313,1.0,0.8108108108108109,0.8955223880597014,0.25
0.7547299497160221,0.6060773320163844,0.6980860603627116,0.8213779527559055,0.5836451460094226,0.7456761006289309,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.3
0.7609676046549364,0.6141627995473123,0.7133124020640451,0.8154461942257217,0.5889443501119147,0.7595546193198917,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.35
0.7659619378129298,0.6206955533084814,0.7268036075095577,0.8095800524934383,0.5936345084792284,0.7541150517563211,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.4
0.7705485051630674,0.6267416879795397,0.7397782983553506,0.8039895013123359,0.5975231037956814,0.7517365001120323,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.45
0.7744195591927124,0.6318798288610119,0.7517280572251015,0.7985236220472441,0.6011656455633936,0.7638019351166762,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.5
0.778018171164384,0.6366855486760638,0.7637514064297544,0.7928280839895013,0.604198247085743,0.7754535999075465,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.55
0.7810939601906108,0.6408155630377853,0.7755040003104525,0.7867650918635171,0.6080680176177355,0.7849486377847253,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.6
0.783923473995794,0.6446333411036359,0.7876256838925908,0.780255905511811,0.6107962702805603,0.796155671570954,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.65
0.7863165132408996,0.6478760911055986,0.8001997255472072,0.7729068241469816,0.6132977026554711,0.8080179713150164,8,0.0,0.0,0,313,1.0,0.7837837837837838,0.8787878787878788,0.7
0.7882122950376103,0.6504541115657498,0.8133445945945946,0.7645866141732284,0.616429829762565,0.8114793087046139,9,0.0,0.0,0,313,1.0,0.7567567567567568,0.8615384615384616,0.75
0.7886927444881593,0.6511087429711591,0.8270762229806599,0.7537139107611549,0.6193988572526012,0.8154563624250499,9,0.0,0.0,0,313,1.0,0.7567567567567568,0.8615384615384616,0.8
0.7875486544468592,0.649550728229483,0.8422818791946308,0.739494750656168,0.621732656403948,0.8144888287068381,9,0.0,0.0,0,313,1.0,0.7567567567567568,0.8615384615384616,0.85
0.7824909068104854,0.6426982033954178,0.8620188701590936,0.7163976377952755,0.6235707178878431,0.8166056166056166,9,0.0,0.0,0,313,1.0,0.7567567567567568,0.8615384615384616,0.9
0.7514398704780104,0.601845159644573,0.8900026046578468,0.6502099737532808,0.6222099505847503,0.8050269299820467,9,0.0,0.0,0,313,1.0,0.7567567567567568,0.8615384615384616,0.95
