epoch,train_bce,train_dice,train_total_loss,validation_bce,validation_dice,validation_total_loss,validation_global_dice_at_0_5,validation_global_iou_at_0_5,validation_pixel_precision_at_0_5,validation_pixel_recall_at_0_5,learning_rate,next_learning_rate,sampled_training_defective_fraction,attempted_batches,optimizer_step_executed,optimizer_step_skipped,nonfinite_forward_loss,nonfinite_gradient,amp_overflow_scale_drop,fp32_retry_attempted,fp32_retry_executed,grad_scaler_scale,maximum_training_gradient_norm,maximum_training_absolute_logit,maximum_validation_absolute_logit,epoch_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes
1,0.1498120056350325,0.796800197135576,0.9466122030669171,0.04394469316516604,0.9460506415367127,0.9899953392573765,0.23881593545133636,0.13559964586242007,0.14109522107019426,0.7768569553805774,0.001,0.001,0.5098435133770823,496,495,1,0,1,1,0,0,32768.0,inf,31.671875,14.6484375,406.1460765000011,3321562112,3697278976
2,0.10946115916403286,0.7122311640243106,0.8216923237569039,0.02829021055051791,0.9254176769937787,0.9537078888075692,0.5912364867514608,0.4196846959700842,0.5889346076720748,0.5935564304461942,0.001,0.001,0.5113579000504795,496,496,0,0,0,0,0,0,32768.0,11.461209297180176,50.125,16.75,440.1297260000065,3320710144,3697278976
3,0.11097642516653249,0.732456694272774,0.8434331199407699,0.02914880132834826,0.9305441887038095,0.9596929911204747,0.339780599616269,0.20466005850656524,0.21870769462827838,0.7611286089238846,0.001,0.001,0.48359414437152953,496,495,1,0,1,1,0,0,16384.0,inf,49.78125,13.3046875,444.9970303000009,3320775680,3697278976
